WorkerId,Answer.wrongShape,Input.List,SceneID,Input.Condition,Input.Referent,Input.Noun,Input.Adj,Input.Target,Input.Competitor,Input.Distractor,Input.Contrast,Answer.freeGenCrit,ReferentImage,turnOrder,sceneConfigs
4ycec7dxyh,0,TlessC2,1,NoContrast,3,square,bumpy,bumpy_bluesquare6.jpg,bumpy_greencircle7.jpg,%23tall_yellowcylinder3.jpg,striped_redtriangle4.jpg,yellow cylinder,%23tall_yellowcylinder3.jpg,2,CADB
4ycec7dxyh,0,TlessC2,2,Contrast,2,circle,open,open_bluecircle6.jpg,open_redtriangle7.jpg,yellow_cloud.jpg,open_greencircle1.jpg,red triangle part,open_redtriangle7.jpg,13,BACD
4ycec7dxyh,0,TlessC2,3,NoContrast,2,line,bent,bent_greenline6.jpg,bent_redarrow7.jpg,yellow_cloud.jpg,big_bluesquare1.jpg,red arrow,bent_redarrow7.jpg,35,ACBD
4ycec7dxyh,0,TlessC2,4,Contrast,2,line,curved,curved_redline6.jpg,curved_greenarrow7.jpg,yellow_star.jpg,curved_blueline1.jpg,green arrow,curved_greenarrow7.jpg,27,ABCD
4ycec7dxyh,0,TlessC2,5,NoContrast,1,circle,spotted,spotted_yellowcircle6.jpg,spotted_redsquare7.jpg,striped_bluetriangle4.jpg,%23thick_greenarrow1.jpg,yellow circle,spotted_yellowcircle6.jpg,4,CBDA
4ycec7dxyh,0,TlessC2,6,Contrast,2,square,striped,striped_yellowsquare6.jpg,striped_bluetriangle7.jpg,spotted_redstar.jpg,striped_greensquare1.jpg,blue triangle,striped_bluetriangle7.jpg,12,BCDA
4ycec7dxyh,0,TlessC2,7,NoContrast,4,triangle,bumpy,bumpy_redtriangle6.jpg,bumpy_bluesquare7.jpg,spotted_greencircle4.jpg,full_yellowcylinder2.jpg,yellow cylinder,full_yellowcylinder2.jpg,11,BCDA
4ycec7dxyh,0,TlessC2,8,Contrast,1,line,curved,curved_blueline6.jpg,curved_redarrow7.jpg,bumpy_yellowtriangle1.jpg,curved_greenline1.jpg,blue line,curved_blueline6.jpg,15,ABDC
4ycec7dxyh,0,TlessC2,9,NoContrast,3,square,spotted,spotted_yellowsquare6.jpg,spotted_greentriangle7.jpg,diagonal_bluearrow.jpg,striped_redcircle5.jpg,blue line,diagonal_bluearrow.jpg,23,DCBA
4ycec7dxyh,0,TlessC2,10,Contrast,2,triangle,striped,striped_redtriangle6.jpg,striped_greensquare7.jpg,chereos_yellowoval.jpg,striped_bluetriangle1.jpg,green square,striped_greensquare7.jpg,29,CABD
